Image,Label
15996,2 4
2758,4
24129,6
12018,6
8389,1
6810,4
2605,4
18065,6 1
8461,0
4290,1
11445,6
1581,7
9949,4 7
5749,3 9 2
19403,5
8619,6
3746,4
10673,6 4
28650,3 4
13306,8 4
4786,6 5
19129,6 4
8567,1
107,6
9034,4
13161,6 9
22048,8 6
19909,2
5856,3 4
19676,1
2983,3 4
21253,4
17578,9
28920,4
161,6 2
24994,6 4
20734,1
1517,2
1938,4
10898,5
4870,6 1 4
10076,4
23942,4
21958,1 4
22116,6
26462,6 4
30420,4 7
5098,1 4
28901,6 1 4
13901,1
18391,2
19875,6 1
11154,4 7
22023,8
22670,2 4
9995,8 4
2039,2 4
22058,0
10504,3
7215,2 4
29981,0 4
28922,4
1544,0 4
13827,6 1
24132,7
26628,6
21061,6 2 4
26747,6
1984,6 2
9716,0 4
1829,3 4
16332,9
16780,3 4
12446,4
24634,0
19608,6 0
14122,2 4
9513,2 4
17958,6 3
16195,4
1971,3 4
6943,1
19632,0 2
24089,1
21774,1
856,6
2829,6
2378,9
16719,4 7
11656,6 5
3422,6 4
29707,0
18,3 4
17658,6 7
30880,3 7
17829,4
21093,6 4
13283,4
7837,9
18365,4
16802,2
13568,3 1
3358,3 4 7
28642,4
30989,8
27781,4 7
5731,1
14530,6 4
22252,2
3414,0 4 7
29604,0
13154,2 4
4604,5
19275,6 1 4
10500,1 4
6224,7
30187,4 7
18434,2 4
22360,8 6 4
3793,4
5541,9
17492,4
21579,0 2 4
8878,3
13740,6 9
6034,2
25880,3
22126,2
13940,6 2
9843,6 4
3068,6 7
27182,4
25434,0 4 7
24403,9
28045,6 4 7
22855,6 5
7523,6
5111,9
28285,4
27027,3
23373,1
13611,0 4
25989,8
1413,0
1166,1
807,3
30509,1 4
26238,6 3 7
29757,6 4
22673,6 4
13759,0 2
9432,6
19429,1 4
5389,1
2014,3 4
22191,6
20991,6
28441,6 4
9109,9
21165,4
24712,6 4
20456,2 4
27405,2
22536,6 2 7
24554,9
12116,4 7
11332,7
13090,6
6334,6
22587,6 1
16475,6 3
26786,3 2
5860,5 4
29463,6 1
6059,5
24108,6
4708,1
15455,0 4
29855,4
4380,8 6 4
14688,2
30557,4
11196,4
6971,0
27026,6 1
22097,5
21950,4
30262,4 7
3117,0 1
14501,1 4 7
3815,7
7179,4
6955,6 4 7
23681,4 7
19086,6 7
1629,4
17585,0
6629,6 4
22813,2
5666,8 6 4
18524,6
27868,6 2 4
30568,6
3383,0
24216,2 4
29683,0
25736,4 7
9548,6 4
11724,2 4
30412,4
3941,7
26693,6 4 7
23829,4
30856,2 4
26613,6 4
12976,6 7
20128,2 4
3465,6
24176,6 3 4 7
23308,8 4
4836,6 4
25649,4 7
12882,4
26767,4 7
4680,1 4
23958,4 7
2876,6
25329,8 4 7
29110,6 3 4
27044,1
6234,2
27687,6
19995,6 4
7225,0
7290,5
28757,4
12033,7
25704,4
16082,3
16548,0
17427,6
25995,0
19359,6 4
18146,6 4
30382,4
525,4 7
24005,8
22788,5 4
2627,0
30831,6 4
9512,6
24527,9
8991,3 4
3909,4
23141,4
26197,5
6707,0 4
16509,0
19878,6 0 4
12752,1
25670,6 7
10455,5
11710,4
11568,6 4
27201,6 5
12122,3 2 4
8664,5
14339,6
22239,4 7
11251,4 7
9842,6
3700,8 4
9951,4
25733,9
9258,3 4
31022,3 4
18105,8 6 2
24973,1
893,0 4
26916,2 4
838,0
5393,6
25410,4
6618,0
17272,1
17982,3
9780,4
6006,1
28747,6 4
27479,8
1153,4
20739,4
8267,4
6124,4
28978,8 6
15621,0 4
13474,0
3518,3 4
21608,8 4
22007,4
1751,3
25664,4 7
3336,9
27074,0
7891,2
19978,6 2
27059,6
142,4
26062,2
3027,1
25556,0 4
30636,0
4639,5 4
30797,7
11854,8 4
2369,6 4
19459,0 4
3173,6 4
29856,6 1 4
14439,1
23670,5
8198,6 7
5150,6
4536,7
10213,9 2
25438,4
4306,6 7
7560,8
14434,6 4
28454,0 2
17052,6
27752,6
14784,2
12995,2
17440,0 4
2705,9
29423,9
21899,1 2 4
27804,4
27131,9
30211,6 1 4
5227,1
11272,6
8378,8
22186,3
19889,6
5912,8 1 4
2444,3
31066,8 4
27829,9
1623,5 4
20121,6
20956,7
4748,0
1123,2
4690,6
7591,3 7
6123,3
27511,9
29691,0
29155,6
29787,5
22258,2 4
1321,6 4
16403,6 4
17984,7
26852,2 4
8243,6 0 4
18762,2 4
11252,9
2201,4
25634,1
9071,7
21092,6 4
27579,3
8657,1 4
15238,6 2 4
21544,1
7253,3 4
792,2 7
14511,9
6681,9
23925,6 4
26778,6 9
10987,7
3207,4
23473,7
2840,0 4
3933,8
22708,4
27592,0 4
5297,2
16604,2
24730,2 4
4894,2 4
17317,3 1
10336,6
16677,6 4
10937,6
7002,3 4
26886,4
3476,0
21404,4
6081,4
22911,6
19552,2 4
23083,9
4735,0 4 7
8371,6 4
15480,5 4
16273,0
27278,0
14047,7
30840,3
11396,4 7
23156,1 4
23525,0
4498,4 7
2172,4
29696,9
25486,4 7
16739,4
21867,9 2
21121,8
3609,0 4
12869,2 4
11253,6 7
2659,9
28539,9
28353,6
11187,4 7
18340,2
8391,1
10808,5
26133,4
4651,6 3
14433,1
10689,3
7491,0 4 7
15973,9
26913,3
13263,6
11325,6
25433,6 1 4
24433,6 1
15156,6 4
1911,6 7
14868,6 1
10818,9
21886,3
28914,9
27121,8
541,4
18996,1 7
23933,4
19695,6 0 4
28562,6 3
3352,8 4
1564,0 2 4
17249,4
15158,2
3901,6 4
29408,4
10414,6
24911,0 2 4
17152,4 7
18298,9
18918,7
2381,9
19350,4
13118,6
4811,6 3 4
14906,7
11046,8 6 4
17809,5 4
26526,6 4
1322,4
17526,6
12293,4
6505,6
13978,4 7
25455,4
26419,3
23033,3
11906,0 2
1464,0
13498,5 4
1233,6
28257,4
18936,9
16814,4 7
20089,4
7680,4 7
7717,6
27269,2 4
9362,7
12251,2 4
18265,4
6389,9
16013,2 4
3285,6 1
11871,2
18324,1 2 4
23604,1
12011,0 2 7
14145,4
694,9
28967,1 4
7884,4 7
10931,6 4
15447,7
8145,0
20101,6 2 4
13708,4 7
22777,4
24463,4
7072,3 4
26721,5
4896,0
2471,2 4 7
3038,3 4
5717,4
22544,6 3
9342,4
22720,4
4852,4
12176,4 7
23787,4
26569,8
4144,6
5069,2
7090,2 4
190,3 4
23131,4
31006,7
19045,4 7
7321,8 3
22895,6 2
6780,6 2 4
22726,9 7
5669,4
770,1
5440,0 4
24576,0
23008,4
28297,0 4
15237,3
17005,3
17500,6 4
21964,3
1775,2 4
23699,6 1
16695,2
18975,1
3374,1 4
27976,3
25115,6
2272,4
18387,5 7
20622,5
27297,5
28197,4
13980,6 7
18544,4
18171,3
23267,6 2 4
20728,6
18612,6 4
20232,1
19415,5
20872,6 4
25018,7
19025,0 2
15953,3 1 4
29585,6 9
10016,0
3892,0 4
9293,4
10560,6
17706,7
18289,4
3925,6 4
16826,6 5 4
27417,3 7
5751,4
19463,3
9290,0 2
2015,5
13532,4
30450,0 4
30519,0
20736,4
18039,2
23516,2 4
14795,1 4
13198,4
27263,0 2
21475,8
4065,4
20648,0 1 4
16196,2
24400,6
28872,5
9289,6 3 4
18474,3
18384,6 7
2355,4
27970,6
8211,4 7
4945,5 4
3391,5
26990,6
22584,6
2849,6
26731,6
10693,7
29035,6 0 7
13301,7
4889,4
21224,4
19284,6 4
13847,9
28475,2 4
878,4
26344,6
8073,0
2430,9
20834,6 0 4
2470,4
9814,8 6
12144,2
29360,6 4
19358,4
3251,6 4 7
4864,3
11336,3
22146,6 2 4
5102,6 4
29634,0
12992,8 4
17209,6 4
18578,0
13141,8 4
16523,6 4
25379,6 2
21610,4
20629,4
27531,6
3035,5
27326,6 4
27256,4 7
11443,9
5483,4 7
6394,0 2
27536,5 4
9148,6
10047,6 4
14542,1 2 4
201,5
24577,6 4
446,1
18835,4 7
15651,6 4
15593,4
19945,4
24647,6 4
20412,9
27456,6 4
12022,6
376,0
28530,7
28723,0
18455,2 4
27653,9 7
18021,4
20988,4
10223,2
27103,4 7
15174,6 4
14072,0
8935,8
20634,4
30605,1
15053,1 4
21680,8 4
19965,6 4
7357,3 1
26873,5 7
7805,2 4
7399,6 4
1273,4
15868,5
24228,9
23878,2 4
11343,4
19505,6 4
29323,2 4
15530,5
7213,3
5901,6
18534,6 2
21435,6 9
6371,6 5 4
6215,2
5833,6 5 4
28208,1
18719,6 4
7575,8 4
12391,6 7
4633,6 0
29837,2
29617,6 4
17996,6 3 4
29811,4
17117,6 3 4
21832,2
29497,1 4
3387,4
11683,6 4
10440,4
29000,6 4
20781,4
2794,6 2
7016,6 2 4 7
20979,4
6160,2
24643,0
8796,3 4
12632,4 7
22912,3 4
13225,0 4
11372,6 9
11693,4
1045,0
23607,9
21577,6 4
3482,2 4 7
5336,0 4
21000,2
22733,3 2
27918,5
11120,2
22091,6 7
1513,2 4
26451,0
1694,0
7559,1
11411,1 4
11346,6 2
16900,4 7
368,4
23478,8
29150,6 4
30598,9
21530,2 4
9534,6 7
28293,6 2
20646,6 9
2283,6 9
1821,6
20693,6
3086,1
23824,6 4
24274,6 4
21593,4
779,6 3
6301,6 5 4
5231,1 5 4
20336,4
16198,8 4
5092,6 4
16089,9
23009,6 5 4
3533,6 4
18755,1
11848,6 1
18336,6
28350,0 4
1772,6
5635,0
7909,0
18117,9 7
20003,4
6101,1
4762,4
16133,1 4
10548,6 4
28979,9 7
26353,5
28627,8
23070,6 2
17112,6 5
17385,6 4
616,2
12701,6
12952,0
6079,4
3440,7
10417,8 4
5898,5 4
11122,9
8704,2 4
10439,2 4
25203,4
17908,1
27599,9
28771,6 7
10822,3 2
16567,4
17505,5 4
28551,4
12523,3 4
5226,0 4
6127,1
18555,6 4
16560,5
25400,9
14861,4
29924,3 1
29649,1
26188,9
27618,4
4274,8
7886,7
12137,1
25935,2 4
9869,3
28303,9
22373,9
17751,6 9
30474,3
15669,3 4
19460,6 5
27893,7
29547,6 4
24326,9
6438,0
20170,1
6797,6 4
8782,4
2942,5
5505,4 7
576,2 4
6450,2 4
20756,6
18241,9
8575,2 4
16430,9
12970,6 0
14181,4
29032,6
27117,0
18826,3
27534,6
19729,2
429,2
10032,6 4
28275,9
3325,4
13059,2 4
24593,6 2 4
2706,4
25840,4
14394,6
19758,6 7
1826,8
26324,2 4
2119,5
19395,9
5132,2
14292,4
24197,1
14191,5 4
26269,4 7
2630,1 4
8411,9
2918,6 5
25496,9
5369,7
28190,2 4
16072,6 2
2268,4
27956,2
26248,8
2041,1
22487,4
5103,6 1 4
30788,7
29921,2 4
6056,5
18632,3
29353,3
17204,3
19977,3
23315,4
2254,2
21506,6
2500,2 4
29894,1
27729,4
5350,6 4
11675,3
2350,7
25123,3
20562,1
9259,4
22824,6 4
29309,5 4
28739,0 4
1644,3 4 7
13707,2 4
4547,3
23429,6
25671,4
17163,6 4
14915,4 7
1622,6 9
23841,4
27880,9
2102,4
21561,9
14385,3 4
2473,6 4
26881,6 4
15398,2 4
1397,8 4
1580,9
12143,6 3 4
6346,2 7
22691,6
23213,0
7144,4
21358,2 4
18140,2
13907,4
28192,9
16468,4
3721,8
1803,6 2
13820,4
19008,9
27273,0
18825,1
458,7
372,1 4
10089,1
3362,2
1902,4 7
439,2 4
25124,5
3983,6 4
13109,6 4
2874,5
4471,0
10323,8 6
1841,2 4
16045,0
27467,7
11217,6 7
9706,4
8857,1
4935,3 7
25314,3
19754,2 7
17898,8
1616,0
12834,2 4
7879,8 6
4118,0
18756,0 1
22869,4
28601,2
15657,6
2251,2 4
8415,2 4
27706,8 2 4
19675,3
6718,7
675,6 4
14536,6
14917,2 4
16643,8 4
6871,3 2
4706,4 7
25281,6
21808,3
27608,1
22802,4 7
19569,7
7066,6 7
18151,4
18470,0 4
24243,1
17311,7
8882,6 4
5681,4
18126,1
6562,3 4
13350,4 7
26230,2
9205,0 7
11869,4 7
27883,8
25336,6 3 9
23653,2 7
15712,6
26357,6 4
24012,6 1
23228,1 4
955,6 4
22800,0
2690,6 9 2
5824,1 4
30348,3
5949,2
30528,0
13188,7
7689,8
14913,0
22728,5
433,8
30854,4 7
204,3 4
6385,2 4
2581,5
29616,6 4
16665,7
21728,3
10972,4
11334,6
9056,0 5
20430,1 2
2878,6 3 7
10716,8
928,3
2722,8 4 7
6723,6 4
26477,6
22514,1 4
11843,3
12385,4 7
20490,4
16742,1
20702,3
2997,8
14465,2
21589,2 4
11061,6 4
30414,7
20216,6 4
5533,1 4
6515,7
13077,2 4
11119,8
26865,7
990,3 5 4
9366,0 4
29774,6 2
19725,4
21963,4 7
7976,6 3 4 7
3000,7
25350,2
27171,6
4828,6 4
14325,2
9086,3
4571,0
21581,6 4
11967,9
29942,9
2687,5
21347,4
1405,9
11328,4 7
3666,4
26918,1 4
5455,6 2 4
21492,4
18771,2
6952,6 9
22899,6 4
27183,6 4
16761,6 4
3082,6 4
11068,5
798,6
11604,6 9
30199,6
13175,8 4
19201,4
10137,4
18721,0
6325,3 4
6805,6 1
20195,4
4312,6
12004,2
10780,4 7
10499,2
22792,6
31062,4
21724,6 4
30499,6 7
23506,1
5900,4
8938,6
3850,6 4
8268,0 4
18569,6 7
6331,1 4
13298,4 7
15863,2 4
29972,4
15831,6
18303,0
8449,6 3 4
8103,5
7226,6
25476,8 4
11937,2
21197,4
24555,8
4453,6 4
14053,6 2 4
6271,6 7
12852,3 4
13136,4 7
15431,6 4
2337,7
4132,6
27803,5
21721,7
8907,4
8111,0
1590,6 4
20457,4 7
11749,6 1 5 4
17603,3 4
648,6 0
21523,9
21688,2 4
17790,9
7674,6 7
286,3 4
2873,3
30465,3
8140,6
15792,6 4
23976,2 4
27301,4 7
22163,4 7
17114,0 4
27465,6
13002,6
16499,4
25264,2 4
3875,2 4
20587,7
14237,4
29572,3
13923,2
8204,4
11450,4
24819,2 4
6230,2 4
2640,2 4
1869,4
14646,8
13504,0
22785,7
15971,6 4
14177,2
30633,5 4
26874,1 4
18971,3
2779,0
6519,0
1608,0 2 4
30853,9
16461,2
28062,8
19254,2 4
22942,4
18720,7
9522,4
7542,6 4 7
5718,2
5181,7
10337,4
21033,6 4
13134,5
15113,0 4
23071,6 0 4
7451,0
23464,1 4
3672,6 2 4
29966,1
29768,4
30056,6 4
16231,6 4
7038,6
19515,2 4
14642,6 4
28088,3 4
3934,1
7821,8
13468,9
7405,8 4
6964,2 4
11755,3
23291,4
11558,8 4
6067,6
16852,0
20856,0 4
17193,6 4
26485,4
11797,6 4
14483,4
12618,7
30463,4
5408,0 4
27516,8 6 4
6086,8 0
3335,6
20709,6 9
23397,2
1417,0
22729,6 7
15366,2
9479,4
2045,1
7332,4
7459,6
28322,4 7
3627,4
28916,9
15625,2
6246,2
23422,6 3 4
11060,6
11055,7
30487,3 2 4
865,0
21450,0
25873,3 4 7
1167,4
29330,6 7
3525,9
14818,4
14036,4
2748,4
21841,0 4
27338,3 1 4
21607,7
26374,7
4035,2
26967,0
30071,1 7
1010,2 4
15330,9
24145,4
26670,4
12551,5 4
9542,8 4
6947,4
14226,6 1
5326,5
28063,9
4053,0
23564,2
29948,6 4
4066,2
18732,1
27713,7
30527,3 4
24340,1
11694,6 4
11451,6 4
12410,2 4
30327,3 1 4
25602,9
12889,6 2 4
627,1 4
10658,6 4
24120,9
7728,7
22310,9
22596,0
17148,2 4
27798,6 4
9378,4
18990,6 4
24343,6 1
21509,0
20733,0 4
21617,3
28151,2 4
25460,1 4
16014,3
3726,0 9
4392,1
30762,5
30794,1
27115,6 4
30500,1
1177,3
30901,6
18416,6 2
23732,3
29563,6 1 4
16405,9
17320,3 4
4335,4
1886,7
14701,6 2
13135,6 2 4
6459,6 4
9571,2 5 4
15880,1
5261,6 4
11015,6 4
27215,3
29546,7
24038,6 4
20911,0
2260,0
25631,3
24992,1 4
420,6
2537,0
6376,1
30001,2 4
7156,4
4964,3 4
13203,6 7
24937,4
8685,4 7
30279,8
21620,6
30516,6 0
9737,6 4
29210,4
12661,6 4
4207,6 1
22618,2
6071,2 7
22688,6 5 4
20803,0
12148,4
28023,4
24667,1
12075,3
13131,4
20464,0 5 4
3354,6
18085,0
9490,8 4
20117,6
5624,6 4
360,1 4
11029,8 4
6842,2 4
2294,0
15222,4 7
1633,9
28782,2
16691,6 7
860,6 2 4
5628,6 2
21173,4
18904,8 0
13706,6 4
6617,4
4563,8
8168,0
248,2
18124,6 4
9830,0 4
570,6 2
28336,3 4
18348,4
1634,6 1
16118,6 4
30419,4
29053,6 2
8251,1
24897,4 7
1213,6 7
30130,6 4
17605,0
5613,6
4408,6
21119,6 2
8291,9
15475,7
17057,5
29605,6 4
12012,0
16369,6
8535,4
8649,6 4
19080,3 4
20007,6 4
7926,5 4
15257,6 0 7
7537,6 5 4
9275,3
27433,1 4
842,5
3317,6
1988,0
25567,2 4
10552,6 4
14634,1
1180,4
6632,6
21240,4
16363,8
6419,7
15513,6 4
27495,1 4
29603,2
1023,0 2 4
28462,4
13121,6 4
25387,5
19444,6 7
2345,6 4
10953,6
2777,4
28535,0 9
757,1
13733,0
11703,2 7
14297,1
9538,7
10767,1 4
13464,0 2
2198,6 2 4
25422,4 7
27757,4
4623,3 4
25113,4
8761,6 2
20500,3 9 7
30455,3 4
18412,6 5
12844,6
12103,9
14183,6 4
23810,6 4
4291,4
26316,0
27230,6 4
24423,6 4
28396,2 4
1890,8 4
3687,3 1
29280,4 7
12913,6 4
7961,4
1101,1 7
14351,6 4
5344,2
17710,4
13289,1 7
25860,4
17865,0
22174,1
29147,4
3828,6 4
27662,3
15172,3 4
13061,7
4558,2 4
27247,6 5 4
28659,0 2
12738,3 4
5207,2 4
21284,5 4
13324,4 7
28221,6 7
13797,9
22646,2 4
1188,7
13689,9
8112,6 3 4
11894,7
23325,0
20501,0
29172,6
24544,3
2281,3
13550,3
7813,3 1
23255,6 4
8044,6 4
29538,6 1
7296,6 0
16465,6
10731,0
12779,9
25261,4
30877,8
17919,6
13678,1
7984,2 4
11515,4
25240,6
14480,7
21914,6 1
804,1
3459,6
21817,3
24997,4 7
8767,2
14041,6 4
2973,3
17217,6 4
3760,4 7
22645,8
18726,4
2160,6
17038,1
27023,4
5573,7
776,6
6989,9 7
28393,6
24392,1
30748,3
18777,7
19356,4 7
7917,2
21910,9 2
13703,0 4
13651,6
30306,7
24959,5
105,4
17023,9
22983,6 2 4
9206,3
18501,4
25966,3
21865,6 3 2
17405,8
17657,4 7
13493,5
20171,0
21603,4
9824,4 7
13102,8 4
17782,2 4
16781,8
22939,6 2 4
9837,6 4
10754,6 4
3564,5
5662,6 4 7
20543,9
7859,4
4374,0
18528,4
5042,7
13846,5
14854,7
2819,0
3789,6
1565,8 4
2022,0
22374,7
202,2 4
6367,7
11756,4 7
18615,4
19922,6 2 4
20999,6 3
1359,4 7
8548,5
19364,6 3 2 4
29456,4
27305,2 4
4364,6 9
23454,4
1350,0 9
21985,8
8715,6
5506,9
22226,6 7
11467,7
19493,2
7393,4
16702,8 4
25377,6
7351,9
18447,3
3559,0
13302,6
15703,7
3643,2 4
30122,4
5747,4 7
24404,6 4
1320,9
9738,1
879,6
17431,4 7
9825,0
14718,1
2094,6 2 4
26421,7
26498,4
26700,0 2
20645,1
22851,6 1
6622,8 6 7
2403,2
7415,4 7
15555,6 4
22350,3
24300,2 4
8508,4
20391,4
29647,9
16495,9
1224,4
13685,5
13076,4 7
11565,2 4
28392,6 4
13446,4
5885,9
17544,6 7
12453,3
27163,7
7624,9
23101,3 4
1263,9
27645,6 2
18823,4
29721,4
22369,7
13429,6
30295,6
24213,1
28161,6
264,8
29027,2 4
29720,4 7
22928,1 4
5036,7
9671,6 4 7
9862,0 4
26956,8 4
25889,0
18729,7
23915,4
25095,7
30342,2
16467,4
17618,4
17184,6 4
12396,3
29235,0 4
28982,4
30101,4
5548,1
25983,6 3 4
17880,4
21746,6
2256,6 1
9661,6
15989,3 4
16244,1 4
18781,0 4
18618,3
20172,2
29651,6
23161,0
722,8 6
22168,6 4
13629,5
638,6 4
8776,1
27695,9
11403,1
11732,6
23740,8
12414,4
6366,6
6348,5
84,9
13381,3
11319,6
2590,6
25978,6 7
27106,0
26300,6 4
15733,9
24999,4
26560,6 2 4
3047,6 1
18480,6
27875,3
5235,1
1723,4
2817,5 4
7712,6
21143,1
846,6
29072,2 4
23918,6
855,8 6 4
29312,0
26577,6 2 4
29960,6
906,4
29390,3
10577,6 1
10415,6 4
28305,4
12255,0 4
18011,6 1 4
6753,7
5298,6 3
22558,7
18422,7
6969,4
27048,4 7
6176,0
9273,6 1 4
29472,6 3
20902,2 4
1963,6
16194,6
1518,6
12597,5 4
23054,7
19780,0
11152,7
12329,3
11326,0 1 4
3522,7
28019,7
7775,0 4
3861,4
11298,9
25526,4
10404,4
25676,6 4
13931,0
25637,6 4
16299,2
23795,0
26125,2 4
21124,4
1627,6 2 4
29512,4
23507,6 4
16875,3 4
6831,0
17546,4
18932,8 2 4
28590,1
14338,0 4
30362,7
19371,0
24764,6
14264,4
24659,3
718,4 7
26460,6 7
26170,4
173,6 7
24308,7
21543,3
7484,6 7
31056,2
9805,0 1 4
5566,0
28404,2 4
11353,3 4
22109,6
9877,1
7536,4
10802,4 7
4190,8 4
16066,3
22398,0
1689,3
17945,6 4
2820,6
30830,2
706,4 7
1017,7
24719,6 4
16944,7
23104,6
22036,7
13096,2
8974,5 4
1091,6 4
23497,4
24514,0
5463,5 4
20943,7
4126,5 4
3612,6
5569,0 9
11509,4 7
9653,6
22170,4
1899,6
21465,8 4
30639,4 7
16527,4
5763,0
18268,6 7
25132,7
8812,0
20054,4
1480,0
19545,4
16710,6
14920,9
17185,6
2036,4
14588,4
30417,8 6
12878,6 4 7
9285,5
28657,0 4
17506,2
18344,7
14085,5 4
9349,3
22437,4
2716,6 4
21346,6 2 4
139,0
15363,6 4
20395,9
16096,1
8347,6 1
24971,0
24109,8 0 4
14059,6 4 7
3770,8 6
4531,6 2
12191,4
9966,0 4
27391,1 4
22638,6 7
18090,4 7
27746,4
26853,4
9045,7
25318,7
12325,6 4
9456,6 4
20482,6
12366,6 4
472,4
3626,7
5995,0
15183,2 4
30099,0 4
13518,4
19667,0 2
9305,3 1 4
13272,3 2
1765,2 4
26347,9
29650,7
13628,6 4
9991,0
15736,8
16736,2
16421,8 6
22221,2
25570,1
1805,4 7
12676,4
20005,4
17069,1
15618,6
14410,5
12436,2
25746,8 4
2962,6 4
25104,6
10722,2
20969,6 7
25512,8 6
8894,4
1582,2 4
6357,6 4
4038,6 4
21902,3
4630,6 9
5095,6 7
15070,0
23458,4
30171,4
28430,3
30765,4
26280,6 4
13450,3
9162,7
22540,6
1360,5 4
11930,5
22660,3 2
9120,1 4
18723,9
21793,7
24835,2 4
20472,2
24632,6 4
29576,2 4
22301,5 4
28418,6 1 4
26810,0 1
23409,4 7
5388,6
27389,7
28136,6
26482,6 1 4
20869,5
14497,8
4519,0 2
5086,6 4
6532,3 1
17624,6
16512,1 4
6795,4
16171,5
11900,4
7947,9
28437,2 4
1059,4
28911,4
5457,6
13928,3
20844,1 2 7
27782,7
7709,6 2 4
15674,6 9
3827,3 4
23345,4
4832,4
9634,0 5 4
4059,4 7
15605,6 4 7
11038,2 4
13990,2 4
25448,4
1423,3
29682,5 4
3175,5
17390,6 1 4
22978,4
938,5 4
11202,6 4
3969,5 4
4265,6
2680,2
3956,6 2 4
12646,6
28818,3
12617,6 4
27977,9
16054,1 4
17268,6 5
23546,0 4
1451,0
21130,7
4088,6 4 7
25125,2 4
9128,6
19368,6 4
25925,6
7231,3
4901,4
7386,8 4
15403,2
4581,3
24293,3
20784,6 4
14516,8 4
22127,1 4
17256,6 4
1791,4 7
1306,5
28736,7
14596,2
17351,6 1 4
10758,6 5
2148,6 4
23804,4 7
14018,2
12769,6 1
17949,3
16215,9 2 4
12799,0
29414,4
7755,8 4
28173,0
1835,6
17495,2
8005,7
18448,1 4 7
7647,6
14900,3 4
22089,3
14069,8 4
4529,2 4
16266,6
28043,4
21271,6 2
22512,8
10602,6 9
5427,0 4
7456,6 1 4
12113,3 4
22893,6 2
17410,0
19490,1
30998,6 2 4
27416,4
24412,4 7
11076,8 6 7
18219,0
26417,2 4
15532,4 7
10871,4
4485,6 1
18629,4
12777,8 4
14323,3 7
29761,0 4
22724,6 3 4
20493,7
5364,6
5220,9
24121,2 4
10229,6 2 4
13697,6 4
11972,6 3 4
3733,6 3 2 4
8016,1 4
24972,2 4
28310,2 4
6111,1
10816,4
3905,0
21222,3
11024,4
14168,6 7
16148,8 4
8952,5
14779,0
27286,6 2 4
26668,6
17218,6 7
13798,6 2
17818,4
29934,9
25808,1 7
25333,6 3 4
17308,7
18280,3
14669,1 4
7043,7
17002,7
7720,8
21525,9 2 4
13391,4
822,5
12782,5 4
2384,2 4
15410,4
5839,6 4
7003,4
28867,5 4
29879,9
22562,0
26147,1 4
6196,9
30371,6 0
17402,1
3883,6
10051,0
25834,8 4
16283,4
26891,1 7
12107,6
9238,0
13578,4
5960,6
15542,9
31043,4
30642,0
15026,0
4790,0
4653,4
8631,3
6744,1
29887,5 4
24639,7
14943,9
13852,6 2
14843,6 9
29026,6 4
24759,4 7
20069,2 4
6941,7
1682,6 4
20348,3 4 7
11602,7
3235,9 7
24676,7
26988,3
2133,7
3111,9
5435,6 2
25,4
12188,0 4
8506,6 4
2209,4
8807,5
12750,9
21500,5 4
28972,5
27510,6 0 4
28102,4
28408,5
25000,5 4
23660,6 4
1395,6
24686,4
25121,0
14386,3
17350,0
29148,2
9454,6 2
18711,7
6679,2 7
30226,6
24063,0 4
11836,4
12668,9
14658,6
20421,3
29555,6 4
21565,0 2
11480,0 4
8805,5
14198,9
22031,2 4
15358,2
5850,8 2
3318,4
16867,9
28684,3
13068,0 2
26602,2
10710,0
28804,6
23959,1 7
7994,6 5 4
23261,2
12645,4
13850,3
7129,3 4
17956,2
17955,6 1
22278,4
25406,6 0
26184,4
5190,4
27794,4
2708,6 4
5715,4
11359,6 4
165,9
7825,3
11245,6
24240,6 1
3957,3 4
16496,3
23367,6 2
21235,3 4
7282,0 9
15761,5 4
12947,3
9757,8 4
14826,1
13911,7
29574,7
6680,6 2
5079,4
27015,4
28714,0 4
29246,1
11420,3
6648,6 2 4
1430,7
18406,4
16073,8 4
23542,6 4
13809,9
30411,4
21961,6 4
2134,0 4
28768,3 7
10008,9 4
16330,9
2224,1 4
22281,2 7
14550,1
17415,4
29131,0 4
13383,6 4
12097,5 4
12374,4
5925,2 4
17892,2 4
20165,8 4
12555,1 4
23605,6 2
4601,6
26546,6 7
29345,2 4
28005,3 4
27227,6 4
23300,5 4
28000,6
30537,6
3772,9
470,3 4
8152,2 4
15654,6
13673,3 2
29723,4 7
16381,2
1968,3 4
22080,2 4
25389,5
26272,9
4234,7
2399,2
10353,0 5
6495,3
2656,5 4
27424,3 1
18993,6 7
26726,0 4
19886,4
28210,4 7
3250,6
3342,3
25928,5 4
8042,0 9
4096,6 4
8234,6 1
21826,4 7
8105,4
1293,9
5259,7
19738,3 4
25957,4
30986,6 4
16091,4
22177,6 2
12222,7
22504,0
4514,9
14999,5
30603,3 4
12051,6
16582,6 9
30674,1 4 7
15616,7
25710,6 4
14969,2 4 7
4657,1 4
13665,6 4 7
15543,2 7
28589,4
16123,4
9158,2 4
11929,3
2040,9 2
26993,2
1783,1 2 4
12730,0
2435,8 1 4
9416,6 2
23169,0
16673,6
14216,1
7185,6 2 4
11473,8 7
21250,4
12330,6 4
30329,9
4376,6 1 4
1840,6 7
16040,3
15510,4
486,6
26715,5
136,4
516,6 4
17003,6 4
15117,6
21675,6 2
29460,0 4
27253,0
4359,3
6915,6
1884,4
10772,0 4
27336,3
17141,0
5088,4 7
24478,4
